  id   | runid |                                                                          fov                                                                          |           target            
  6671 | 68803 | ((51.682597637942,-8.50513909753006),(49.5652065426499,-8.51075017782384),(49.5643204091092,-5.7190042788179),(51.6674844514702,-5.71388578203671))   | Fermi_GMB_GND_POS_564946193
  6672 | 68648 | ((3.66703411258494,39.8885580430903),(0.935851569992155,39.8864149682316),(0.872264973169192,42.6805505232173),(3.72331186332868,42.6828808389513))   | Fermi_GMB_GND_POS_564993306
  6601 | 68655 | ((29.8858035838301,21.9298000920239),(27.6158596198277,21.8961525987006),(27.5451595324847,24.7042382212342),(29.8616551236256,24.7392006685242))     | Fermi_GMB_GND_POS_564946193
  6745 | 68656 | ((29.8847540698432,21.928857047214),(27.6145641965496,21.8960469544807),(27.5445073438258,24.7056978648659),(29.8611796393759,24.738774644772))       | Fermi_GMB_GND_POS_564946193
  6747 | 68804 | ((51.682754088992,-8.50401837560723),(49.5653347235378,-8.50981317626936),(49.5641672244499,-5.71808046302245),(51.6674503852795,-5.71278674028576))  | Fermi_GMB_GND_POS_564946193
  6699 | 68803 | ((48.0644337235574,-8.39907209088514),(45.9342744248037,-8.40402325809312),(45.9361961588342,-5.59433497411283),(48.0515184037042,-5.58888028066132)) | Fermi_GMB_GND_POS_564946193
  6723 | 68803 | ((49.8958193020475,-8.31760216637481),(47.7775200545265,-8.33551727057049),(47.7585925832285,-5.54038085390862),(49.8642382601266,-5.52225388558016)) | Fermi_GMB_GND_POS_564946193
  6749 | 68648 | ((5.93910887582518,39.8141131403763),(3.21333894684979,39.8808509287051),(3.2758848116925,42.671600160282),(6.11920804482055,42.6015166587648))       | Fermi_GMB_GND_POS_564993306
  6606 | 68647 | ((1.26737483085513,39.8401487124669),(358.525642099422,39.7942020657452),(358.367007052285,42.6120831375203),(1.23926097207745,42.6504499090777))     | Fermi_GMB_GND_POS_564993306
  6712 | 68648 | ((1.34467186324838,39.8343446714083),(358.525656567392,39.7953544733181),(358.381777795903,42.6046889000672),(1.24939073094737,42.6523323433617))     | Fermi_GMB_GND_POS_564993306
  7146 | 68801 | ((51.6819254453042,-8.5073465390651),(49.5645878517605,-8.51274358942965),(49.563850772656,-5.72109419221412),(51.6670727677599,-5.71623520393534))   | Fermi_GMB_GND_POS_564946193
  6769 | 68804 | ((49.8958714464327,-8.31821512603903),(47.7775500969183,-8.33617465801155),(47.7586204284979,-5.54107662541234),(49.864426578407,-5.52295002178705))  | Fermi_GMB_GND_POS_564946193
  7121 | 68800 | ((51.681149235012,-8.50701595030051),(49.5637590355205,-8.51225954092986),(49.5632276062195,-5.72071969839696),(51.6664190736486,-5.71594959988506))  | Fermi_GMB_GND_POS_564946193
  6691 | 68656 | ((33.7348603746425,21.7944347794747),(31.4796705842635,21.8344203321907),(31.514944048722,24.6254880193329),(33.8163575566464,24.5841347640148))      | Fermi_GMB_GND_POS_564946193
  7122 | 68652 | ((31.845868760788,22.0103087238905),(29.5851312400596,21.9959109492648),(29.5395411573762,24.790217344648),(31.8486563676566,24.8050255388748))       | Fermi_GMB_GND_POS_564946193
  6719 | 68656 | ((31.8455931233794,22.0074893043678),(29.5849828310632,21.9934985000431),(29.5400148994857,24.7877768502442),(31.8487978528699,24.8023269825695))     | Fermi_GMB_GND_POS_564946193
  7213 | 68653 | ((29.8867317688772,21.9309679170818),(27.6163380683377,21.8972166270908),(27.5458424759633,24.7052683641268),(29.8623073329464,24.7402294669054))     | Fermi_GMB_GND_POS_564946193
  6788 | 68649 | ((1.3387890974326,39.8415673730707),(358.522102372059,39.7941729876881),(358.38118953649,42.6046688908386),(1.2440404296201,42.6503198014729))        | Fermi_GMB_GND_POS_564993306
  6795 | 68804 | ((48.0637047412986,-8.3995983925433),(45.9334624820833,-8.40435947282199),(45.9358547925092,-5.59475030142802),(48.051097659357,-5.58950696991066))   | Fermi_GMB_GND_POS_564946193
  7185 | 68653 | ((33.7339503523795,21.7907364878506),(31.4787982481821,21.8310620915221),(31.5144823766345,24.6221834184965),(33.8158698278331,24.580427722938))      | Fermi_GMB_GND_POS_564946193
  6823 | 68649 | ((3.66666197634098,39.8880117415421),(0.935530934815468,39.8860057916862),(0.872180838899317,42.6801501684376),(3.723142368889,42.6823485828595))     | Fermi_GMB_GND_POS_564993306
  6853 | 68649 | ((5.9390289757068,39.8151365690855),(3.21311382178879,39.8816933566243),(3.27503513645869,42.6723935937374),(6.11883554086224,42.6025646182494))      | Fermi_GMB_GND_POS_564993306
  6881 | 68650 | ((5.93881870848272,39.816325470342),(3.21296986589767,39.8826245123132),(3.27470579543358,42.6732953389063),(6.11833926129702,42.6036427692053))      | Fermi_GMB_GND_POS_564993306
  6926 | 68650 | ((1.34314779024731,39.8371138840087),(358.522362729412,39.7942087092223),(358.380249342048,42.6049097804562),(1.23195486562213,42.6506541307878))     | Fermi_GMB_GND_POS_564993306
 12549 | 69565 | ((3.66672907661916,39.8879665895709),(0.935791221931826,39.8859808699849),(0.872358022695074,42.6800106849413),(3.72318006349192,42.6821899190045))   | Fermi_GMB_GND_POS_564993306
  9097 | 68800 | ((49.8958784139467,-8.31568032308949),(47.7776077765572,-8.3340054923485),(47.7582584310189,-5.5387652089254),(49.8639143904809,-5.52045256031613))   | Fermi_GMB_GND_POS_564946193
